DateTime,Benzene_ug_m3,Benzene_ug_m3_is_anomaly,Benzene_ug_m3_zscore
2004-03-10 18:00:00,11.9,False,-0.5141423467796472
2004-03-10 19:00:00,9.4,False,-0.9215492588990575
2004-03-10 20:00:00,9.0,False,-0.8411348270312803
2004-03-10 21:00:00,9.2,False,-0.38338715230845316
2004-03-10 22:00:00,6.5,False,-0.5895123615289349
2004-03-10 23:00:00,4.7,False,-0.9423952997075749
2004-03-11 00:00:00,3.6,False,-1.0786218872367792
2004-03-11 01:00:00,3.3,False,-0.8563241803531706
2004-03-11 02:00:00,2.3,False,-0.8086998071404563
2004-03-11 03:00:00,,False,
2004-03-11 04:00:00,,False,
2004-03-11 05:00:00,1.1,False,-0.9795483134446938
2004-03-11 06:00:00,1.6,False,-1.117987270517656
2004-03-11 07:00:00,3.2,False,-0.8870709163050807
2004-03-11 08:00:00,8.0,False,-0.7770868774555978
2004-03-11 09:00:00,9.5,False,-0.6209508826763196
2004-03-11 10:00:00,6.3,False,-0.8669775111163156
2004-03-11 11:00:00,5.0,False,-1.0603242672713151
2004-03-11 12:00:00,5.2,False,-1.0333191580487688
2004-03-11 13:00:00,7.3,False,-0.6299206156469743
2004-03-11 14:00:00,11.5,False,0.1420170006496946
2004-03-11 15:00:00,8.8,False,-0.2776188340054443
2004-03-11 16:00:00,8.3,False,-0.47178462110310226
2004-03-11 17:00:00,11.2,False,-0.3391186795726932
2004-03-11 18:00:00,20.8,False,0.4065732017511256
2004-03-11 19:00:00,27.4,False,1.0320562364115782
2004-03-11 20:00:00,24.0,False,1.0237757464181325
2004-03-11 21:00:00,12.8,False,0.25163349722687056
2004-03-11 22:00:00,4.7,False,-1.0033918317117445
2004-03-11 23:00:00,2.6,False,-1.4538676135522437
2004-03-12 00:00:00,5.9,False,-0.4885865629753628
2004-03-12 01:00:00,6.4,False,0.08763228321417277
2004-03-12 02:00:00,4.1,False,-0.13440994024495123
2004-03-12 03:00:00,,False,
2004-03-12 04:00:00,,False,
2004-03-12 05:00:00,1.0,False,-1.029798626109939
2004-03-12 06:00:00,1.8,False,-1.0442047069543356
2004-03-12 07:00:00,4.4,False,-0.7267142774692487
2004-03-12 08:00:00,17.9,False,0.29268251506553855
2004-03-12 09:00:00,,False,
2004-03-12 10:00:00,14.0,False,0.2649320441827641
2004-03-12 11:00:00,11.6,False,0.11879344088466381
2004-03-12 12:00:00,10.2,False,-0.10777095282797478
2004-03-12 13:00:00,11.0,False,-0.009312390877118753
2004-03-12 14:00:00,12.8,False,0.35743299436661835
2004-03-12 15:00:00,14.2,False,0.6672572963974308
2004-03-12 16:00:00,12.7,False,0.23169994251989184
2004-03-12 17:00:00,11.7,False,-0.2785688394809415
2004-03-12 18:00:00,19.3,False,0.2513964239088605
2004-03-12 19:00:00,18.2,False,0.03354676103058663
2004-03-12 20:00:00,32.6,False,2.0929911418624627
2004-03-12 21:00:00,20.1,False,1.53931425878461
2004-03-12 22:00:00,14.3,False,1.203965342596574
2004-03-12 23:00:00,21.8,True,3.2224506844561556
2004-03-13 00:00:00,9.6,False,0.4606006977930026
2004-03-13 01:00:00,7.4,False,0.39213436823589637
2004-03-13 02:00:00,5.4,False,0.3525771858462472
2004-03-13 03:00:00,,False,
2004-03-13 04:00:00,,False,
2004-03-13 05:00:00,2.6,False,-0.22579362346601825
2004-03-13 06:00:00,2.9,False,-0.6384006073560736
2004-03-13 07:00:00,5.1,False,-0.6331729048150134
2004-03-13 08:00:00,11.8,False,-0.36646832275051505
2004-03-13 09:00:00,15.1,False,0.048098561522374926
2004-03-13 10:00:00,12.9,False,0.10323067914003851
2004-03-13 11:00:00,16.1,False,0.9227373328091953
2004-03-13 12:00:00,14.0,False,0.595645683139829
2004-03-13 13:00:00,12.3,False,0.20873914755553333
2004-03-13 14:00:00,8.6,False,-0.3385263699495967
